         26.,       3918.,       3999.,       4234.,       4234.,       2240.,       2240.,       2240.,       2240.
        249.,       4467.,       4468.,       4075.,       4075.,       4133.,       4133.,       4133.,       4133.
        250.,       4469.,       4470.,       3983.,       3983.,       4467.,       4467.,       4467.,       4467.
        251.,       4470.,       4471.,       4467.,       4467.,       4469.,       4469.,       4469.,       4469.
        252.,       4467.,       4115.,       4472.,       4472.,       4049.,       4049.,       4049.,       4049.
        254.,       4467.,       4474.,       4114.,       4114.,       4036.,       4036.,       4036.,       4036.
        255.,       4114.,       4467.,       4131.,       4131.,       4474.,       4474.,       4474.,       4474.
        256.,       4467.,       4471.,       4468.,       4468.,       4233.,       4233.,       4233.,       4233.
        267.,       4473.,       4472.,       2241.,       2241.,       4233.,       4233.,       4233.,       4233.
        272.,       4472.,       4473.,       4467.,       4467.,       4233.,       4233.,       4233.,       4233.
        317.,       4512.,       4513.,       3043.,       3043.,       2265.,       2265.,       2265.,       2265.
        462.,       4582.,       4583.,       3017.,       3017.,       3201.,       3201.,       3201.,       3201.
        463.,       4582.,       3128.,       3091.,       3091.,       3016.,       3016.,       3016.,       3016.
        464.,       4582.,       4217.,       4584.,       4584.,       3016.,       3016.,       3016.,       3016.
        465.,       4471.,       4582.,       4217.,       4217.,       4584.,       4584.,       4584.,       4584.
        466.,       4582.,       4585.,       4471.,       4471.,       4218.,       4218.,       4218.,       4218.
        468.,       4582.,       3129.,       3017.,       3017.,       2292.,       2292.,       2292.,       2292.
        534.,       4616.,       4617.,       4426.,       4426.,       4235.,       4235.,       4235.,       4235.
        569.,       4218.,       4471.,       4582.,       4582.,       4217.,       4217.,       4217.,       4217.
        570.,       4471.,       4633.,       4234.,       4234.,       4218.,       4218.,       4218.,       4218.
        571.,       4471.,       4217.,       4469.,       4469.,       4584.,       4584.,       4584.,       4584.
        572.,       4633.,       4471.,       4467.,       4467.,       4470.,       4470.,       4470.,       4470.
        634.,       4651.,       3918.,       2240.,       2240.,       4000.,       4000.,       4000.,       4000.
        746.,       4684.,       3165.,       3042.,       3042.,       3164.,       3164.,       3164.,       3164.
        755.,       4685.,       2264.,       4513.,       4513.,       4686.,       4686.,       4686.,       4686.
        756.,       4685.,       3363.,       4687.,       4687.,       3237.,       3237.,       3237.,       3237.
        757.,       4685.,       3237.,       4687.,       4687.,       3166.,       3166.,       3166.,       3166.
        758.,       4685.,       4513.,       2264.,       2264.,       3043.,       3043.,       3043.,       3043.
        759.,       4685.,       4235.,       4513.,       4513.,       4219.,       4219.,       4219.,       4219.
        760.,       4685.,       4513.,       4235.,       4235.,       4686.,       4686.,       4686.,       4686.
        761.,       4685.,       4687.,       3363.,       3363.,       4617.,       4617.,       4617.,       4617.
        762.,       4616.,       4685.,       3168.,       3168.,       3305.,       3305.,       3305.,       3305.
        771.,       4633.,       4690.,       3984.,       3984.,       4075.,       4075.,       4075.,       4075.
        772.,       4467.,       4470.,       3983.,       3983.,       4633.,       4633.,       4633.,       4633.
        773.,       4469.,       4467.,       4233.,       4233.,       4471.,       4471.,       4471.,       4471.
        774.,       4690.,       4468.,       4633.,       4633.,       4234.,       4234.,       4234.,       4234.
        784.,       3336.,       4617.,       3205.,       3205.,       4426.,       4426.,       4426.,       4426.
        786.,       4426.,       4617.,       3205.,       3205.,       3132.,       3132.,       3132.,       3132.
        787.,       4426.,       3019.,       4617.,       4617.,       3132.,       3132.,       3132.,       3132.
        788.,       4426.,       2290.,       4617.,       4617.,       3019.,       3019.,       3019.,       3019.
        790.,       4426.,       4617.,       2290.,       2290.,       4235.,       4235.,       4235.,       4235.
        829.,       4702.,       3166.,       4687.,       4687.,       3302.,       3302.,       3302.,       3302.
        830.,       4684.,       4219.,       4583.,       4583.,       4702.,       4702.,       4702.,       4702.
        831.,       4218.,       4684.,       4219.,       4219.,       4583.,       4583.,       4583.,       4583.
        832.,       4685.,       4702.,       3043.,       3043.,       3166.,       3166.,       3166.,       3166.
        833.,       4616.,       4617.,       3335.,       3335.,       3336.,       3336.,       3336.,       3336.
