       8836.,  -1.73400680908180E-03,   5.02460718203679E-03,  -1.30000000000000E-02
       8859.,  -1.75550976326604E-03,   3.04063210316000E-03,  -1.36634867937908E-02
       8860.,  -2.00392398971113E-03,   3.47089816468581E-03,  -1.37644932088041E-02
       8861.,  -2.28899441068190E-03,   3.96465461754224E-03,  -1.38804042081887E-02
       8862.,  -2.60971059978461E-03,   4.52015135187800E-03,  -1.40108089477303E-02
       8863.,  -2.88853033702417E-03,   5.00308130292992E-03,  -1.41241783891530E-02
       8864.,  -3.14234382406097E-03,   5.44269915812388E-03,  -1.42273801693992E-02
       8886.,  -2.74315323902398E-03,   3.17588891731790E-03,  -1.30000000000000E-02
       8887.,  -3.14094389461261E-03,   3.62563990052890E-03,  -1.30000000000000E-02
       8925.,  -3.05139210000837E-03,  -3.52439064515871E-03,  -1.30000000000000E-02
       8926.,  -3.48443405914051E-03,  -4.01399753801821E-03,  -1.30000000000000E-02
       8949.,  -1.75523857012065E-03,  -3.04016238285351E-03,  -1.36633765253582E-02
       8950.,  -2.00361306976168E-03,  -3.47035963553627E-03,  -1.37643667872626E-02
       8951.,  -2.28940312640505E-03,  -3.96536253394058E-03,  -1.38805703939605E-02
       8952.,  -2.54082933507689E-03,  -4.40084550171462E-03,  -1.39828014953824E-02
       8953.,  -2.81727443545850E-03,  -4.87966246107904E-03,  -1.40952053980780E-02
       8954.,  -3.14234426887598E-03,  -5.44269992856606E-03,  -1.42273803502631E-02
       8977.,  -1.56896611029832E-03,  -4.53158839056619E-03,  -1.30000000000000E-02
       8978.,  -1.78113422697670E-03,  -5.16538883642227E-03,  -1.30000000000000E-02
       9015.,   4.00743510036072E-03,  -7.64409269501532E-04,  -1.30000000000000E-02
       9016.,   4.57937422195393E-03,  -8.80685863448477E-04,  -1.30000000000000E-02
       9017.,   5.23705729930129E-03,  -1.01439440906688E-03,  -1.30000000000000E-02
       9039.,   3.51101952636293E-03,   0.00000000000000E+00,  -1.36634867937564E-02
       9040.,   4.00784797922752E-03,   0.00000000000000E+00,  -1.37644932087645E-02
       9041.,   4.57971343375808E-03,   0.00000000000000E+00,  -1.38807548260211E-02
       9042.,   5.23736035698901E-03,   0.00000000000000E+00,  -1.40144560214210E-02
       9043.,   6.20233211380689E-03,   0.00000000000000E+00,  -1.42106370919259E-02
       9065.,   4.12257160904618E-03,   7.87816797616754E-04,  -1.30000000000000E-02
       9066.,   4.71136646425118E-03,   9.07520202598056E-04,  -1.30000000000000E-02
       9067.,   5.38786402003314E-03,   1.04505377676700E-03,  -1.30000000000000E-02
       9198.,   1.20878762359033E-03,   3.88645526467820E-03,  -9.77835112283564E-03
       9222.,   1.34104753248643E-03,   2.32276246163139E-03,  -9.88418059513506E-03
       9223.,   1.51667477705569E-03,   2.62695777241867E-03,  -9.49946161024271E-03
       9224.,   1.71530866651919E-03,   2.97100176107447E-03,  -9.06434558649002E-03
       9225.,   2.00244309415642E-03,   3.46833317834436E-03,  -8.43536535167983E-03
       9226.,   2.21529300360613E-03,   3.83700003589771E-03,  -7.96910852860684E-03
       9322.,   2.76030556490036E-03,  -2.98894623369067E-03,  -9.77946963179892E-03
       9346.,   1.34116366636472E-03,  -2.32296361140904E-03,  -9.88392619891156E-03
       9347.,   1.51699443385853E-03,  -2.62751143424214E-03,  -9.49876138835516E-03
       9348.,   1.71593196590634E-03,  -2.97208134728132E-03,  -9.06298022254496E-03
       9349.,   2.00244320092980E-03,  -3.46833336328125E-03,  -8.43536511778820E-03
       9350.,   2.21529314648144E-03,  -3.83700028336495E-03,  -7.96910821563242E-03
       9379.,   1.20704488411343E-03,  -3.88052404790287E-03,  -9.78281131544341E-03
       9529.,  -3.96865617888229E-03,  -8.96021631234507E-04,  -9.77946961137589E-03
       9530.,  -4.50222587536705E-03,  -1.02536102555756E-03,  -9.38335746403771E-03
