        313.,      12299.,    1136160.,    1141190.,    1141190.,    1136256.,    1136256.,    1136256.,    1136256.
        314.,      12299.,    1140264.,    1140261.,    1140261.,    1136255.,    1136255.,    1136255.,    1136255.
        315.,    1066513.,    1139869.,    1141361.,    1141361.,    1136255.,    1136255.,    1136255.,    1136255.
        316.,      12299.,    1136269.,    1140262.,    1140262.,    1146290.,    1146290.,    1146290.,    1146290.
        317.,      11458.,    1139804.,    1139205.,    1139205.,    1139805.,    1139805.,    1139805.,    1139805.
        318.,    1065878.,    1139884.,    1141373.,    1141373.,    1141383.,    1141383.,    1141383.,    1141383.
        362.,    1066863.,    1140843.,    1147453.,    1147453.,    1140844.,    1140844.,    1140844.,    1140844.
        468.,    1066135.,    1140710.,    1139929.,    1139929.,    1139935.,    1139935.,    1139935.,    1139935.
        469.,      12406.,    1144562.,    1136264.,    1136264.,    1145953.,    1145953.,    1145953.,    1145953.
        470.,    1066135.,    1144433.,    1139916.,    1139916.,    1144434.,    1144434.,    1144434.,    1144434.
        471.,      12406.,    1139936.,    1145956.,    1145956.,    1139933.,    1139933.,    1139933.,    1139933.
        550.,    1066070.,    1144015.,    1140557.,    1140557.,    1144018.,    1144018.,    1144018.,    1144018.
        612.,      12302.,    1144446.,    1140432.,    1140432.,    1145302.,    1145302.,    1145302.,    1145302.
        647.,      12409.,    1136242.,    1146272.,    1146272.,    1145326.,    1145326.,    1145326.,    1145326.
        648.,      12406.,    1145953.,    1145954.,    1145954.,    1144562.,    1144562.,    1144562.,    1144562.
        649.,    1066266.,    1142531.,    1136461.,    1136461.,    1142532.,    1142532.,    1142532.,    1142532.
        650.,    1066848.,    1147427.,    1140205.,    1140205.,    1147428.,    1147428.,    1147428.,    1147428.
        651.,    1066266.,    1136461.,    1140192.,    1140192.,    1142532.,    1142532.,    1142532.,    1142532.
        652.,      12409.,    1142532.,    1145069.,    1145069.,    1145287.,    1145287.,    1145287.,    1145287.
        698.,      12299.,    1136160.,    1141189.,    1141189.,    1141190.,    1141190.,    1141190.,    1141190.
        699.,    1066559.,    1146293.,    1141134.,    1141134.,    1146289.,    1146289.,    1146289.,    1146289.
        700.,    1066051.,    1143911.,    1141360.,    1141360.,    1143910.,    1143910.,    1143910.,    1143910.
        702.,      12397.,    1136300.,    1146298.,    1146298.,    1147146.,    1147146.,    1147146.,    1147146.
        756.,    1066373.,    1143040.,    1140884.,    1140884.,    1145649.,    1145649.,    1145649.,    1145649.
        757.,      11847.,    1139323.,    1140878.,    1140878.,    1140877.,    1140877.,    1140877.,    1140877.
        759.,      12535.,    1140855.,    1140852.,    1140852.,    1140872.,    1140872.,    1140872.,    1140872.
        760.,    1065883.,    1140866.,    1140180.,    1140180.,    1141429.,    1141429.,    1141429.,    1141429.
        761.,      12409.,    1145287.,    1145288.,    1145288.,    1142532.,    1142532.,    1142532.,    1142532.
        762.,      12409.,    1145288.,    1140125.,    1140125.,    1142532.,    1142532.,    1142532.,    1142532.
        763.,    1065882.,    1140204.,    1140850.,    1140850.,    1140852.,    1140852.,    1140852.,    1140852.
        793.,      12441.,    1141085.,    1144572.,    1144572.,    1141767.,    1141767.,    1141767.,    1141767.
        794.,      12350.,    1136325.,    1146258.,    1146258.,    1136153.,    1136153.,    1136153.,    1136153.
        795.,      12350.,    1140501.,    1136323.,    1136323.,    1140844.,    1140844.,    1140844.,    1140844.
        796.,    1066088.,    1140084.,    1140830.,    1140830.,    1144149.,    1144149.,    1144149.,    1144149.
        797.,      12350.,    1136323.,    1136325.,    1136325.,    1136153.,    1136153.,    1136153.,    1136153.
        807.,      12350.,    1140456.,    1140501.,    1140501.,    1140845.,    1140845.,    1140845.,    1140845.
        808.,      12299.,    1140261.,    1136270.,    1136270.,    1136160.,    1136160.,    1136160.,    1136160.
        809.,      12302.,    1140497.,    1144446.,    1144446.,    1145299.,    1145299.,    1145299.,    1145299.
        810.,      12350.,    1146260.,    1136325.,    1136325.,    1140501.,    1140501.,    1140501.,    1140501.
        811.,      12302.,    1140756.,    1144487.,    1144487.,    1147493.,    1147493.,    1147493.,    1147493.
        812.,    1066515.,    1139872.,    1144016.,    1144016.,    1146245.,    1146245.,    1146245.,    1146245.
        813.,      12302.,    1140497.,    1147496.,    1147496.,    1139871.,    1139871.,    1139871.,    1139871.
        923.,      12208.,    1141118.,    1136158.,    1136158.,    1145340.,    1145340.,    1145340.,    1145340.
        965.,    1065858.,    1140725.,    1140251.,    1140251.,    1140726.,    1140726.,    1140726.,    1140726.
        966.,      12350.,    1140845.,    1140501.,    1140501.,    1140844.,    1140844.,    1140844.,    1140844.
        967.,    1066087.,    1140231.,    1144144.,    1144144.,    1144146.,    1144146.,    1144146.,    1144146.
        968.,    1065854.,    1140233.,    1136459.,    1136459.,    1140488.,    1140488.,    1140488.,    1140488.
        969.,      12350.,    1146260.,    1140501.,    1140501.,    1140502.,    1140502.,    1140502.,    1140502.
        970.,    1065862.,    1140481.,    1140232.,    1140232.,    1140736.,    1140736.,    1140736.,    1140736.
        971.,      12302.,    1140756.,    1144490.,    1144490.,    1144487.,    1144487.,    1144487.,    1144487.
        972.,      12442.,    1141225.,    1140788.,    1140788.,    1146860.,    1146860.,    1146860.,    1146860.
